คลื่นความถี่ (MHz),ผู้ใช้คลื่นความถี่,การนำไปใช้งาน
120.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.4,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
120.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.6,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
120.65,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
120.8,"กรมการทหารสื่อสาร กองทัพบก, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารกับอากาศยาน"
120.85,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.9,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
120.95,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.05,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.15,"กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม, กรมอุทยานแห่งชาติ สัตว์ป่าและพันธุ์พืช, กรมการบินพลเรือน",ติดต่อสื่อสารราชการ
121.2,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
121.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.45,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.5,"กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม, กรมฝนหลวงและการบินเกษตร, การท่าเรือแห่งประเทศไทย, กรมการบินพลเรือน, บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมการทหารสื่อสาร กองทัพบก, บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน), บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, กรมสื่อสารทหารเรือ, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, กระทรวงเกษตรและสหกรณ์, กรมฝนหลวงและการบินเกษตร, บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน), บริษัท ปตท.สผ. เอนเนอร์ยี่ ดีเวลลอปเมนท์ จำกัด, กรมเจ้าท่า","เครื่องแจ้งเหตุฉุกเฉิน (Emergency Location Transmitter: ELT), แจ้งเหตุอันตรายและความปลอดภัย, เครื่องแจ้งเหตุอันตรายจากเรือผ่านดาวเทียม (EPIRB), Search and Rescue Operation, ติดต่อสื่อสารราชการ, เครื่องบอกตำแหน่ง, ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารในการสำรวจและผลิตปิโตรเลียม, ติดต่อสื่อสารทางด้านการบิน, เครื่องแจ้งเหตุฉุกเฉิน, ประสานงานเพื่อความปลอดภัยในท่าอากาศยาน, ติดต่อสื่อสารกับอากาศยาน, แจ้งเหตุอัตราย เหตุฉุกเฉิน การค้นหาและช่วยเหลือ, ติดต่อประสานงาน"
121.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ควบคุมจราจรทางอากาศ
121.65,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
121.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารภารกิจของบริษัท
121.75,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารทางด้านการบิน"
121.8,สำนักงานตำรวจแห่งชาติ,รักษาความปลอดภัย
121.9,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ, กรมฝนหลวงและการบินเกษตร, บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน), บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน), nan","แจ้งเหตุอันตรายและความปลอดภัย, ประสานงานกับอากาศยาน, ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารทางด้านการบิน, nan"
121.95,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.0,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.05,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.1,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
122.15,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.2,"กรมการสื่อสารทหาร กองบัญชาการกองทัพไทย, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, นำร่อนอากาศยานลงสู่สนามบิน"
122.25,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.29,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.3,"กระทรวงเกษตรและสหกรณ์, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมฝนหลวงและการบินเกษตร, บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน)","แจ้งเหตุอันตรายและความปลอดภัย, ติดต่อสื่อสารทางด้านการบิน, ภารกิจการบินฝนหลวง"
122.35,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.4,"กรมการทหารสื่อสาร กองทัพบก, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารทางด้านการบิน, ติดต่อกับอากาศยาน"
122.45,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.5,"บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมการทหารสื่อสาร กองทัพบก","ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารกับอากาศยาน"
122.55,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.6,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารทางด้านการบิน"
122.7,"บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมการทหารสื่อสาร กองทัพบก","ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารกับอากาศยาน"
122.75,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
